Date,Open,High,Low,Close,Volume,"('Date', '')","('Open', 'BTC-USD')","('High', 'BTC-USD')","('Low', 'BTC-USD')","('Close', 'BTC-USD')","('Volume', 'BTC-USD')"
2017-01-01,997.4,1005.0,960.53,966.34,6765936.165117411,,,,,,
2017-01-02,1012.54,1032.0,990.01,997.8,8276030.793166411,,,,,,
2017-01-03,1035.24,1039.0,999.99,1012.02,9276734.580567071,,,,,,
2017-01-04,1114.3,1139.89,1028.56,1035.74,23476506.06854417,,,,,,
2017-01-05,1000.42,1136.72,885.41,1113.97,36190813.62907297,,,,,,
2017-01-06,894.43,1026.99,871.0,1004.74,25531436.933740128,,,,,,
2017-01-07,903.97,907.05,812.28,895.5,17619070.31558711,,,,,,
2017-01-08,909.6,941.81,881.3,906.22,8164011.031562813,,,,,,
2017-01-09,896.96,912.87,875.0,909.8,7782148.932773347,,,,,,
2017-01-10,903.46,912.47,889.41,896.06,7706384.169592533,,,,,,
2017-01-11,778.54,918.4,755.0,904.08,29452194.072808374,,,,,,
2017-01-12,807.5,832.99,751.34,777.56,13632462.289825585,,,,,,
2017-01-13,826.8,831.4,775.0,805.77,9224970.693684436,,,,,,
2017-01-14,818.27,837.76,810.0,825.98,5469742.265374147,,,,,,
2017-01-15,821.85,823.45,808.0,819.55,3454909.014246308,,,,,,
2017-01-16,831.81,835.0,818.09,821.85,5107434.949496119,,,,,,
2017-01-17,905.95,908.5,827.0,831.76,10774970.286989484,,,,,,
2017-01-18,886.7,915.99,851.74,906.97,9830026.487186903,,,,,,
2017-01-19,902.51,910.0,878.89,887.75,9928565.117997428,,,,,,
2017-01-20,895.8,902.43,880.0,902.23,5915721.125578391,,,,,,
2017-01-21,921.98,928.0,895.0,895.65,5373760.990554909,,,,,,
2017-01-22,922.33,937.74,886.76,922.0,6566288.860952884,,,,,,
2017-01-23,917.27,927.57,913.21,923.81,3234650.231264955,,,,,,
2017-01-24,885.47,923.0,881.48,909.13,8497003.397699634,,,,,,
2017-01-25,893.43,904.01,884.5,885.47,4725942.378078207,,,,,,
2017-01-26,914.83,919.49,892.86,893.43,4688154.508262675,,,,,,
2017-01-27,918.02,924.88,908.01,914.96,4433882.884482725,,,,,,
2017-01-28,918.6,920.99,913.08,918.21,1078818.6264300458,,,,,,
2017-01-29,912.04,919.99,910.45,918.78,1234846.437960395,,,,,,
2017-01-30,920.0,923.0,910.0,912.01,2864811.682838595,,,,,,
2017-01-31,964.08,970.0,917.5,919.75,9025348.215038251,,,,,,
2017-02-01,983.67,986.96,962.0,963.99,6750109.57497359,,,,,,
2017-02-02,1009.17,1011.65,973.12,983.79,8223035.797673747,,,,,,
2017-02-03,1016.99,1022.64,987.01,1009.18,11026744.08427029,,,,,,
2017-02-04,1034.14,1044.23,1004.0,1016.99,5883830.510339376,,,,,,
2017-02-05,1011.07,1034.6,1004.7,1033.17,4416516.621066172,,,,,,
2017-02-06,1023.51,1031.94,1005.1,1011.03,5189349.613871165,,,,,,
2017-02-07,1052.47,1056.25,1021.3,1024.26,5605781.060966867,,,,,,
2017-02-08,1050.4,1070.0,1025.0,1051.05,10074810.270129925,,,,,,
2017-02-09,985.57,1074.69,913.73,1051.73,25066746.43730571,,,,,,
2017-02-10,997.59,1010.68,950.0,986.99,10489833.976707442,,,,,,
2017-02-11,1012.4,1020.0,987.62,995.94,4505686.319880542,,,,,,
2017-02-12,1000.73,1011.97,991.98,1011.0,2689742.014728483,,,,,,
2017-02-13,1000.79,1007.89,975.1,1000.73,4522438.197174616,,,,,,
2017-02-14,1008.88,1019.0,987.97,1000.1,6805943.355406329,,,,,,
2017-02-15,1011.3,1013.8,1000.97,1009.29,3123921.377479928,,,,,,
2017-02-16,1032.91,1043.21,1010.75,1011.24,6168666.096506515,,,,,,
2017-02-17,1054.57,1064.99,1031.98,1032.7,6386087.004839037,,,,,,
2017-02-18,1056.4,1068.99,1046.14,1055.76,4746727.110129396,,,,,,
2017-02-19,1051.8,1061.9,1039.07,1056.4,2388841.6674306644,,,,,,
